;Definiciones;;;;;;Contexto de aplicabilidad;;;;;;;;;
ID;Lineamiento (Qué?);Control (Cómo?);Amenaza/Vulnerabilidad (Para qué?);Columna1;Columna2;Columna3;SPA (Angular);App Web;App Móvil;REST o API;Web Service;MQ;Stand-alone con interfaz humana;Stand-alone sin interfaz humana;Cliente-Servidor;Observaciones
AP - 0001;El sistema debe permitir a un super usuario o usuario administrador del sistema, deshabilitar cuentas de usuarios.;Desarrollo funcional o no funcional;"Poder deshabilitar una o varias cuentas de usuario involucradas en un incidente de seguridad o relacionadas con alguna novedad.
Reaccionar ante un evento de fraude en el cual se comprometa una cuenta de usuario.";;;;;;;;;;x;x;x;
AP - 0002;Las credenciales de acceso al sistema deben ser únicas para cada actor.;Desarrollo funcional o no funcional;"Mitigar la ausencia de trazabilidad de las acciónes de un usuario específico en el sistema.
Mitigar la divulgación de credenciales sensibles
Facilitar la remoción de accesos de un usuario
Mitigar denegación masiva de servicio por bloqueo del usuario";;;;;x;;x;x;;x;x;x;
AP - 0003;Un sistema crítico para el negocio debe requerir certificados digitales de cliente en el proceso de autenticación.;Desarrollo funcional o no funcional;"Garantizar una autenticación fuerte del consumidor. 
Asegurar la comunicación de información entre el cliente y el servidor. ";;;;;x;;x;x;x;x;x;x;
AP - 0004;El sistema debe garantizar que el correo electrónico declarado realmente pertenece a la persona en cuestión.;Desarrollo funcional o no funcional;Mitigar la inscripción de correos electrónicos falsos o que no pertenecen al cliente en el sistema.;;;;;x;;x;x;;;;x;
AP - 0005;La transacción crítica debe confirmarse fuera de banda (Push, SMS, correo electrónico, llamada, entre otros).;Desarrollo funcional o no funcional;Confirmar una transacción crítica antes de ser ejecutada.;;;;;x;;x;x;;;;x;
AP - 0006;Debe utilizarse firmas digitales para garantizar la autenticidad de información o transacciones sensibles (Ej.: JWS, XML Sign, PGP, S\MIME entre otros);Desarrollo funcional o no funcional;"Demostrar la autenticidad de un mensaje digital o de un documento electrónico.
Tener la autenticación del origen del mensaje y garantizar no repudio.
Verificar la integridad del mensaje";;;;;;;;;;x;x;x;
AP - 0007;El sistema de autenticación debe tener un retraso incremental de 5 segundos cuando se ingresen credenciales de autenticación erróneas, hasta llegar a un máximo de 30 segundos.;Desarrollo funcional o no funcional;"Mitigar el acceso al sistema por parte de usuarios no autorizados.
Mitigar ataques de denegación de servicio al generar bloqueos de usuarios por intento fallidos.
Mitigar los ataques por fuerza bruta.";;;;;x;;x;x;;x;;x;
AP - 0008;Las respuestas del sistema a los fallos de autenticación no deben indicar cual parte de la autenticación fue incorrecta.;Desarrollo funcional o no funcional;Mitigar que sea fácil para una persona no autorizada adivinar el usuario y/o clave de otra persona. ;;;;x;x;x;x;x;x;x;;x;
AP - 0009;El sistema debe bloquear una cuenta de un usuario ante uno o varios intentos fallidos de autenticación.;Desarrollo funcional o no funcional;Mitigar ataques de fuerza bruta para adivinar contraseñas de usuarios.;;;;;x;x;x;x;x;x;;x;
AP - 0010;El Proceso de Autenticación unificado (SSO: Single Sign On) debe implementarse mediante protocolos estándar (ej.: SAML, Kerberos o OAUTH2/OIDC) y validando correctamente los tokens entregados en el proceso.;Desarrollo funcional o no funcional;"Acceder a varios sistemas que utilicen la misma fuente de autenticación con una sola instancia de identificación usando protocolos estándar.
Mitigar que sean interceptadas las contraseñas de red por parte de usuarios no autorizados.";;;;x;x;x;x;x;;;;x;
